Compact-ID: "0006597" WaferID(Filename): "210913_K4_1" Date: "19.12.2021" Touchdowns: " 3" Current(mA): "50" Nr_of_Points: "342" Comment: "" HTTS: "2"
X,Y,R1,R2,R3
47750.00000000,78750.00000000,0.75323534,0.75439668,0.75336242
-10750.00000000,83250.00000000,0.85017008,0.85178524,0.84523314
-6250.00000000,83250.00000000,0.94418043,0.84912920,0.84780848
-1750.00000000,83250.00000000,0.91889709,0.95985311,0.95771950
2750.00000000,83250.00000000,1.00066936,1.00594246,0.99609053
7250.00000000,83250.00000000,1.03193974,0.98892558,1.02248871
11750.00000000,83250.00000000,1.02713871,0.99647582,1.06922364
16250.00000000,83250.00000000,1.06467795,1.06569397,1.06485069
20750.00000000,83250.00000000,1.02801716,1.02735066,1.02833951
25250.00000000,83250.00000000,0.96625751,0.96843833,0.99207592
29750.00000000,83250.00000000,0.98523092,0.98580909,0.98313171
34250.00000000,83250.00000000,0.94269705,0.92547524,0.94089961
38750.00000000,83250.00000000,0.85296571,0.87642801,0.87724352
43250.00000000,83250.00000000,0.84914190,0.85514385,0.84832329
-6250.00000000,87750.00000000,1.04488587,1.02095497,1.04636526
-1750.00000000,87750.00000000,1.14998400,1.12566614,1.16512895
2750.00000000,87750.00000000,1.20710015,1.19522619,1.19173431
7250.00000000,87750.00000000,1.22819757,1.22672558,1.21721041
11750.00000000,87750.00000000,1.24483585,1.24389279,1.23921967
16250.00000000,87750.00000000,1.22984695,1.22666824,1.22336113
20750.00000000,87750.00000000,1.19197106,1.19412756,1.19081342
25250.00000000,87750.00000000,1.16649485,1.15822637,1.15029860
29750.00000000,87750.00000000,1.12010992,1.11268079,1.11299229
34250.00000000,87750.00000000,1.06790626,1.07075799,1.06301045
38750.00000000,87750.00000000,1.00926507,1.01448476,1.00814891
2750.00000000,92250.00000000,1.30592823,1.30391741,1.30174959
7250.00000000,92250.00000000,1.28843319,1.28910542,1.28455722
11750.00000000,92250.00000000,1.26815856,1.26577628,1.26170766
16250.00000000,92250.00000000,1.24104249,1.23592782,1.23494565
20750.00000000,92250.00000000,1.21698344,1.21035862,1.19999492
25250.00000000,92250.00000000,1.16074991,1.18131804,1.16189778
29750.00000000,92250.00000000,1.13343334,1.13246131,1.12644637
